model_name,model_role,threshold,validation_precision,validation_recall,validation_f1,validation_f2,validation_roc_auc,validation_pr_auc,test_precision,test_recall,test_f1,test_f2,test_roc_auc,test_pr_auc,test_tn,test_fp,test_fn,test_tp
xgboost,primary,0.7999999999999999,0.27401415571284127,0.5324165029469549,0.3618157543391189,0.44793388429752073,0.8606695856891969,0.25192533711012366,0.3404255319148936,0.6575342465753424,0.44859813084112143,0.554272517321016,0.9139964739989896,0.3974258638272775,19853,186,50,96
random_forest,comparison,0.6799999999999999,0.4474034620505992,0.6601178781925344,0.5333333333333333,0.6027987082884823,0.8834281249991438,0.4641437337344909,0.3415492957746479,0.6643835616438356,0.45116279069767445,0.5587557603686636,0.9130954911894409,0.4666289685896413,19852,187,49,97
logistic_regression,comparison,0.95,0.12584704743465633,0.5108055009823183,0.2019417475728155,0.31691857630424175,0.7424470269197493,0.19313882299260415,0.3349282296650718,0.4794520547945205,0.39436619718309857,0.44136191677175285,0.8764494851477974,0.3150304404249418,19900,139,76,70
knn,comparison,0.31999999999999995,0.109979633401222,0.3182711198428291,0.16347124117053483,0.23083499572527785,0.7348822035493514,0.12765840615383328,0.06946688206785137,0.2945205479452055,0.11241830065359476,0.17871986699916875,0.824178981123795,0.12723647235566182,19463,576,103,43
