model_name,target_name,target_column,threshold,validation_rows,validation_positive_rows,validation_precision,validation_recall,validation_f2,validation_roc_auc,validation_pr_auc,test_rows,test_positive_rows,test_precision,test_recall,test_f2,test_roc_auc,test_pr_auc
xgboost,high_surveillance_risk,target_high_surveillance_risk_next_month,0.05,286,3,0.0,0.0,0.0,0.6925795053003534,0.04067968416559965,346,2,0.0,0.0,0.0,0.42441860465116277,0.008383838383838384
xgboost,poor_stool_adequacy,target_poor_stool_adequacy_next_month,0.05,286,24,0.07224334600760456,0.7916666666666666,0.2646239554317549,0.4166666666666667,0.07479274753412402,346,21,0.06422018348623854,1.0,0.25547445255474455,0.5183150183150184,0.06571275182161117
xgboost,delayed_reporting,target_delayed_reporting_next_month,0.05,286,191,0.6678321678321678,1.0,0.9095238095238095,0.5359878754477817,0.6958657064336442,346,214,0.6184971098265896,1.0,0.8901830282861897,0.6235839705465873,0.7259060342407487
xgboost,under_vaccinated_afp,target_under_vaccinated_afp_signal_next_month,0.05,286,65,0.22727272727272727,1.0,0.5952380952380951,0.6081447963800904,0.33735568595994,346,116,0.3352601156069364,1.0,0.7160493827160495,0.47672413793103446,0.32249665397966987
xgboost,suspected_poliovirus,target_suspected_poliovirus_signal_next_month,0.05,286,33,0.08287292817679558,0.45454545454545453,0.23961661341853036,0.3946580428793868,0.09380997877492894,346,49,0.16113744075829384,0.6938775510204082,0.4176904176904177,0.5798460798460798,0.17775531350247206
